term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kl,Ql,Jl,Jʹl,Kr,Qr,t_a_1,index1,index0
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,2.0,0.0,2.0,-1.0,4107597639.203246,54,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,2.0,0.0,1.0,0.0,-2904510145.0664682,55,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,2.0,0.0,2.0,0.0,5030759142.354376,55,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,2.0,0.0,1.0,1.0,-1676919714.1181242,56,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,2.0,0.0,2.0,1.0,5030759142.354376,56,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,2.0,0.0,2.0,2.0,4107597639.203246,57,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,0.0,-5302885749.85169,59,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,1.0,0.0,6494682125.7064,59,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,2.0,0.0,-1499882589.431056,59,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,1.0,1.0,1.0,6494682125.7064,60,10
